title,category,price_gbp,rating,in_stock,price_inr
I am a Hero Omnibus Volume 1,Sequential Art,54.63,3,True,5763.46
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,22.11,2,True,2332.6
Danganronpa Volume 1,Sequential Art,51.99,4,True,5484.95
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,36.72,4,True,3873.96
Camp Midnight,Sequential Art,17.08,4,True,1801.94
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,37.92,2,True,4000.56
The Shadow Hero (The Shadow Hero),Sequential Art,33.14,1,True,3496.27
"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,41.62,4,True,4390.91
Batman: The Long Halloween (Batman),Sequential Art,36.5,2,True,3850.75
Batman: The Dark Knight Returns (Batman),Sequential Art,15.38,5,True,1622.59
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,37.34,4,True,3939.37
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,53.9,1,True,5686.45
Through the Woods,Sequential Art,25.38,2,True,2677.59
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,11.89,5,True,1254.4
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,35.43,4,True,3737.86
Robin War,Sequential Art,47.82,3,True,5045.01
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,25.48,2,True,2688.14
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,38.39,2,True,4050.14
Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,51.51,2,True,5434.3
El Deafo,Sequential Art,57.62,5,True,6078.91
Batman: Europa,Sequential Art,32.01,2,True,3377.06
Art Ops Vol. 1,Sequential Art,48.8,3,True,5148.4
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,10.9,2,True,1149.95
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,33.95,4,True,3581.73
Roller Girl,Sequential Art,14.1,5,True,1487.55
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Sequential Art,19.57,1,True,2064.64
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Sequential Art,20.96,4,True,2211.28
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Sequential Art,36.39,3,True,3839.14
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Sequential Art,16.33,1,True,1722.81
"Death Note, Vol. 5: Whiteout (Death Note #5)",Sequential Art,52.41,1,True,5529.25
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Sequential Art,27.88,2,True,2941.34
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Sequential Art,50.44,4,True,5321.42
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Sequential Art,14.41,3,True,1520.26
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Sequential Art,55.55,5,True,5860.52
"Saga, Volume 3 (Saga (Collected Editions) #3)",Sequential Art,21.57,5,True,2275.64
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Sequential Art,43.63,3,True,4602.96
Persepolis: The Story of a Childhood (Persepolis #1-2),Sequential Art,39.13,1,True,4128.22
Original Fake,Sequential Art,31.45,3,True,3317.98
"Grayson, Vol 3: Nemesis (Grayson #3)",Sequential Art,42.72,1,True,4506.96
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Sequential Art,45.17,2,True,4765.44
"Black Butler, Vol. 1 (Black Butler #1)",Sequential Art,49.31,1,True,5202.2
Awkward,Sequential Art,38.02,2,True,4011.11
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Sequential Art,54.81,1,True,5782.46
"Saga, Volume 2 (Saga (Collected Editions) #2)",Sequential Art,11.75,3,True,1239.62
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Sequential Art,11.64,5,True,1228.02
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Sequential Art,18.51,4,True,1952.8
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Sequential Art,36.52,2,True,3852.86
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Sequential Art,54.12,3,True,5709.66
The Complete Maus (Maus #1-2),Sequential Art,10.64,3,True,1122.52
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Sequential Art,42.12,3,True,4443.66
"Saga, Volume 1 (Saga (Collected Editions) #1)",Sequential Art,28.48,1,True,3004.64
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Sequential Art,46.96,5,True,4954.28
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Sequential Art,21.71,4,True,2290.41
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Sequential Art,29.87,3,True,3151.29
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Sequential Art,39.39,4,True,4155.65
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Sequential Art,45.24,3,True,4772.82
"Giant Days, Vol. 1 (Giant Days #1-4)",Sequential Art,56.76,4,True,5988.18
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Sequential Art,40.28,5,True,4249.54
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Sequential Art,34.65,5,True,3655.58
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Sequential Art,57.06,4,True,6019.83
The Secret Garden,Classics,15.08,4,True,1590.94
The Metamorphosis,Classics,28.58,1,True,3015.19
The Pilgrim's Progress,Classics,50.26,2,True,5302.43
The Hound of the Baskervilles (Sherlock Holmes #5),Classics,14.82,2,True,1563.51
Little Women (Little Women #1),Classics,28.07,4,True,2961.38
Gone with the Wind,Classics,32.49,3,True,3427.7
Candide,Classics,58.63,3,True,6185.46
Animal Farm,Classics,57.22,3,True,6036.71
Wuthering Heights,Classics,17.73,3,True,1870.52
The Picture of Dorian Gray,Classics,29.7,2,True,3133.35
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Classics,26.78,4,True,2825.29
Beowulf,Classics,38.35,2,True,4045.92
And Then There Were None,Classics,35.01,2,True,3693.56
The Story of Hong Gildong,Classics,43.19,4,True,4556.54
The Little Prince,Classics,45.42,2,True,4791.81
Sense and Sensibility,Classics,37.46,1,True,3952.03
Of Mice and Men,Classics,47.11,2,True,4970.1
Emma,Classics,32.93,2,True,3474.12
Alice in Wonderland (Alice's Adventures in Wonderland #1),Classics,55.53,1,True,5858.42
Sophie's World,Philosophy,15.94,5,True,1681.67
The Death of Humanity: and the Case for Life,Philosophy,58.11,4,True,6130.6
The Stranger,Philosophy,17.44,4,True,1839.92
Proofs of God: Classical Arguments from Tertullian to Barth,Philosophy,54.21,1,True,5719.16
Kierkegaard: A Christian Missionary to Christians,Philosophy,47.13,1,True,4972.22
"At The Existentialist Caf̩: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Philosophy,29.93,5,True,3157.62
Critique of Pure Reason,Philosophy,20.75,1,True,2189.12
"Run, Spot, Run: The Ethics of Keeping Pets",Philosophy,20.02,1,True,2112.11
The Nicomachean Ethics,Philosophy,36.34,1,True,3833.87
Meditations,Philosophy,25.89,2,True,2731.4
Beyond Good and Evil,Philosophy,43.38,1,True,4576.59
